"15777	6.9",,,,,
"15774	6.9",,,,,
"15768	6.9",,,,,
"15767	6.9",,,,,
"15630	6.9",,,,,
"15659	6.9",,,,,
"15483	6.9",,,,,
"15484	6.9",,,,,
"15484	6.9",,,,,
"15505	6.9",,,,,
"15505	6.9",,,,,
"15505	6.9",,,,,
"15501	6.9",,,,,
"15506	6.9",,,,,
"15409	15",,,,,
"15396	15",,,,,
"15419	15",,,,,
"15440	15",,,,,
"15422	15",,,,,
"16378	15",,,,,
"16118	15",,,,,
"16077	15",,,,,
"16073	15",,,,,
"15484	15",,,,,
"18111	15",,,,,
"16465	15",,,,,
"15555	15",,,,,
"16126	15",,,,,
"15434	15",,,,,
"16929	15",,,,,
"16182	15",,,,,
"16182	15",,,,,
"16183	15",,,,,
"17104	15",,,,,
"16203	15",,,,,
"16202	15",,,,,
"20123	15",,,,,
"12794	15",,,,,
"14204	15",,,,,
"15477	15",,,,,
"20222	15",,,,,
"15879	15",,,,,
"15876	15",,,,,
"15749	15",,,,,
"18004	15",,,,,
"14546	15",,,,,
"16640	15",,,,,
"14538	15",,,,,
"15110	15",,,,,
"14981	15",,,,,
"14383	15",,,,,
"15866	15",,,,,
"15571	15",,,,,
"15002	15",,,,,
"15089	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15285	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15285	15",,,,,
"15286	15",,,,,
"15286	15",,,,,
"15287	15",,,,,
"15286	15",,,,,
"15327	15",,,,,
"15802	15",,,,,
"14382	15",,,,,
"14403	15",,,,,
"14403	15",,,,,
"14404	13.8",,,,,
"15728	13.8",,,,,
"15729	13.8",,,,,
"16065	13.8",,,,,
"16073	13.8",,,,,
"16074	13.8",,,,,
"16073	13.8",,,,,
"16074	13.8",,,,,
"16073	13.8",,,,,
"15491	13.8",,,,,
"15468	13.8",,,,,
"15469	13.8",,,,,
"15471	13.8",,,,,
"15469	13.8",,,,,
"15470	13.8",,,,,
"15476	13.8",,,,,
"15659	13.8",,,,,
"15658	13.8",,,,,
"15658	13.8",,,,,
"15658	13.8",,,,,
"15658	13.8",,,,,
"15658	13.8",,,,,
